,im,label
518,[0.41541106],1
519,[0.34634886],1
520,[0.16343647],1
521,[0.39303384],1
522,[0.25365149],1
523,[0.31229616],1
524,[0.40835505],1
525,[0.19207336],1
526,[0.26554288],1
527,[0.18956509],1
528,[0.29171766],1
529,[0.23323259],1
530,[0.17345886],1
531,[0.49846919],1
532,[0.35623482],1
533,[0.25957681],1
534,[0.22050007],1
535,[0.28558802],1
536,[0.27660181],1
537,[0.07863348],1
538,[0.30852289],1
539,[0.02230636],1
540,[0.22437002],1
541,[0.15872626],1
542,[0.14986329],1
543,[0.45284125],1
544,[0.36497751],1
545,[0.31351586],1
546,[0.30842785],1
547,[0.48254967],1
548,[0.10214266],1
549,[0.36090516],1
550,[0.13734357],1
551,[0.23837675],1
552,[0.17549154],1
553,[0.14897674],1
554,[0.27872571],1
555,[0.24563011],1
556,[0.40310219],1
557,[0.28943724],1
558,[0.24637623],1
559,[0.24129352],1
560,[0.24166747],1
561,[0.16018497],1
562,[0.22311389],1
563,[0.37297922],1
564,[0.26297425],1
565,[0.18641818],1
566,[0.22598777],1
567,[0.3366573],1
568,[0.26418757],1
569,[0.16418972],1
570,[0.14043601],1
571,[0.17791938],1
572,[0.34223571],1
573,[0.2320819],1
574,[0.24002274],1
575,[0.24032483],1
576,[0.24600453],1
577,[0.258118],1
578,[0.1925195],1
579,[0.2645362],1
580,[0.07648771],1
581,[0.11617516],1
582,[0.20163841],1
583,[0.19999897],1
584,[0.30849244],1
585,[0.33455953],1
586,[0.16513851],1
587,[0.30023042],1
588,[0.16016872],1
589,[0.13769566],1
590,[0.15630908],1
591,[0.22979339],1
592,[0.30725872],1
593,[0.21314584],1
594,[0.92869402],1
595,[0.32187182],1
596,[0.25561982],1
597,[0.9724183],1
598,[0.71183478],1
599,[0.58923727],1
600,[0.51999295],1
601,[0.61608766],1
602,[0.94242783],1
603,[0.46272726],1
604,[0.2544593],1
605,[0.73857601],1
606,[0.49482501],1
607,[1.0606649],1
608,[0.44673553],1
609,[0.46930772],1
610,[0.43428943],1
611,[1.09542062],1
612,[0.27700081],1
613,[0.40341902],1
614,[0.39247732],1
615,[0.39268228],1
616,[0.2988482],1
617,[0.40230775],1
618,[0.56689018],1
619,[0.34398116],1
620,[0.59753742],1
621,[0.42044354],1
622,[0.33831176],1
623,[0.83742321],1
624,[0.27504685],1
625,[0.32458265],1
626,[0.35276087],1
627,[0.30678175],1
628,[0.31065501],1
629,[0.32136348],1
630,[0.45839228],1
631,[0.35953661],1
632,[0.35046863],1
633,[0.39574918],1
634,[0.30130855],1
635,[0.34557687],1
636,[0.16362156],1
637,[0.42643459],1
638,[0.1362347],1
639,[0.32820441],1
640,[0.25695652],1
641,[0.20629419],1
642,[0.57651763],1
643,[0.40503452],1
644,[0.41822209],1
645,[0.38834696],1
646,[0.59286166],1
647,[0.15613063],1
648,[0.95927339],1
649,[0.28636432],1
650,[0.23201357],1
651,[0.24145021],1
652,[0.25015437],1
653,[0.27705778],1
654,[0.30158669],1
655,[0.46578105],1
656,[0.30120242],1
657,[0.27816656],1
658,[0.33004798],1
659,[0.29057755],1
660,[0.38019902],1
661,[0.34049379],1
662,[0.6370223],1
663,[0.34400752],1
664,[0.26844262],1
665,[0.2414534],1
666,[0.44100728],1
667,[0.43245955],1
668,[0.20617067],1
669,[0.25857211],1
670,[0.35193386],1
671,[0.35275715],1
672,[0.32780523],1
673,[0.34069705],1
674,[0.21785235],1
675,[0.207663],1
676,[0.42623205],1
677,[0.28826568],1
678,[0.29083359],1
679,[0.21556405],1
680,[0.20061595],1
681,[0.27739803],1
682,[0.30880235],1
683,[0.30557433],1
684,[0.38112532],1
685,[0.32864742],1
686,[0.33544211],1
687,[0.17533915],1
688,[0.14064874],1
689,[0.27066818],1
690,[0.31159297],1
691,[0.41214308],1
692,[0.30960107],1
693,[0.62591951],1
694,[0.28818761],1
695,[0.20942901],1
696,[0.44784985],1
697,[0.46218211],1
698,[0.49015802],1
699,[0.94347661],1
700,[0.48263884],1
701,[0.45578896],1
702,[0.55508166],1
703,[0.24822351],1
704,[1.25994659],1
705,[0.83402084],1
706,[0.72910069],1
707,[0.37431422],1
708,[0.58393221],1
709,[0.33408456],1
710,[0.7652064],1
711,[0.19536567],1
712,[0.42384993],1
713,[0.32866626],1
714,[0.53598049],1
715,[0.30723626],1
716,[0.45426963],1
717,[0.46520267],1
718,[0.26854489],1
719,[0.45585322],1
720,[0.3046509],1
721,[0.24922793],1
722,[0.4712006],1
723,[0.20741508],1
724,[0.29424285],1
725,[0.28513091],1
726,[0.26762568],1
727,[0.24208883],1
728,[0.27247837],1
729,[0.46922886],1
730,[0.4055384],1
731,[0.29612951],1
732,[0.37376347],1
733,[0.2770557],1
734,[0.24063329],1
735,[0.22903092],1
736,[0.40644951],1
737,[0.07381907],1
738,[0.27760047],1
739,[0.19747866],1
740,[0.28783496],1
741,[1.08462112],1
742,[0.42705197],1
743,[0.33769933],1
744,[0.33621087],1
745,[0.48997283],1
746,[0.19087336],1
747,[0.45562372],1
748,[0.25299439],1
749,[0.26813527],1
750,[0.22557105],1
751,[0.21152382],1
752,[0.2336456],1
753,[0.26674942],1
754,[0.35726553],1
755,[0.22162319],1
756,[0.25463924],1
757,[0.28753641],1
758,[0.20467288],1
759,[0.25430338],1
760,[0.29498431],1
761,[0.40256087],1
762,[0.35505936],1
763,[0.20963232],1
764,[0.21680579],1
765,[0.38787059],1
766,[0.38737117],1
767,[0.16413252],1
768,[0.25829978],1
769,[0.28158237],1
