,scores,labels
717,[[0.38261416]],0
718,[[0.32168392]],0
719,[[0.33591294]],0
720,[[0.36255051]],0
721,[[0.33152724]],0
722,[[0.32662966]],0
723,[[0.39422363]],0
724,[[0.40417802]],0
725,[[0.39058643]],0
726,[[0.29737158]],0
727,[[0.3260064]],0
728,[[0.34789789]],0
729,[[0.30894784]],0
730,[[0.48011401]],0
731,[[0.49018281]],0
732,[[0.38669096]],0
733,[[0.30996363]],0
734,[[0.41771069]],0
735,[[0.48261781]],0
736,[[0.28515525]],0
737,[[0.48791872]],0
738,[[0.37332774]],0
739,[[0.44952844]],0
740,[[0.46727984]],1
741,[[0.51461335]],1
742,[[0.50016667]],1
743,[[0.36541475]],1
744,[[0.57189243]],0
745,[[0.34940998]],0
746,[[0.29909715]],0
747,[[0.43996181]],0
748,[[0.53581248]],0
749,[[0.52719996]],0
750,[[0.28371521]],0
751,[[0.31576691]],0
752,[[0.5266962]],0
753,[[0.44140777]],0
754,[[0.41027948]],0
755,[[0.41151335]],0
756,[[0.41406927]],0
757,[[0.37136461]],0
758,[[0.34479185]],0
759,[[0.50052409]],0
760,[[0.62273938]],0
761,[[0.43367678]],0
762,[[0.347963]],0
763,[[0.27109485]],0
764,[[0.35776524]],0
765,[[0.43662155]],0
766,[[0.34428566]],0
767,[[0.36405229]],0
768,[[0.43855885]],0
769,[[0.34169015]],0
770,[[0.60754232]],0
771,[[0.39629663]],0
772,[[0.40818921]],0
773,[[0.32160531]],0
774,[[0.39193708]],0
775,[[0.31501629]],0
776,[[0.2557939]],0
777,[[0.30207876]],0
778,[[0.29547005]],0
779,[[0.2467644]],0
780,[[0.36746429]],0
781,[[0.24312135]],0
782,[[0.34700407]],0
783,[[0.34834171]],0
784,[[0.42188174]],0
785,[[0.33513855]],0
786,[[0.25289858]],0
787,[[0.40298596]],0
788,[[0.40298705]],0
789,[[0.44908726]],0
790,[[0.4825347]],0
791,[[0.43209369]],0
792,[[0.3522289]],0
793,[[0.35665737]],0
794,[[0.33925679]],0
795,[[0.40842093]],0
796,[[0.29766919]],0
797,[[0.26696803]],0
798,[[0.32892132]],0
799,[[0.47189626]],0
800,[[0.50869887]],0
801,[[0.37478956]],0
802,[[0.47687129]],0
803,[[0.3709377]],0
804,[[0.44582831]],0
805,[[0.43473626]],0
806,[[0.40022676]],0
807,[[0.54424788]],0
808,[[0.56026756]],0
809,[[0.57587486]],0
810,[[0.63674303]],0
811,[[0.38883672]],0
812,[[0.36590991]],0
813,[[0.44502391]],0
814,[[0.34510681]],0
815,[[0.37260599]],0
816,[[0.31482946]],0
817,[[0.36151803]],0
818,[[0.40977151]],0
819,[[0.37538004]],0
820,[[0.30244863]],0
821,[[0.34181717]],0
822,[[0.31270268]],0
823,[[0.35576987]],0
824,[[0.43141346]],0
825,[[0.30284815]],0
826,[[0.37687805]],0
827,[[0.38854613]],0
828,[[0.3910694]],0
829,[[0.59930999]],0
830,[[0.38073148]],0
831,[[0.35975425]],0
832,[[0.53160623]],0
833,[[0.36246496]],0
834,[[0.4162903]],0
835,[[0.31562973]],0
836,[[0.34560429]],0
837,[[0.30395926]],0
838,[[0.24987403]],0
839,[[0.39161771]],0
840,[[0.50898503]],0
841,[[0.60199404]],0
842,[[0.36726134]],0
843,[[0.31893066]],0
844,[[0.56565878]],0
845,[[0.32901898]],0
846,[[0.33159802]],0
847,[[0.46560491]],0
848,[[0.42455579]],0
849,[[0.48252987]],0
850,[[0.37422997]],0
851,[[0.25499985]],0
852,[[0.29511755]],0
853,[[0.26575291]],0
854,[[0.367838]],0
855,[[0.24777748]],0
856,[[0.21415563]],0
857,[[0.28006634]],0
858,[[0.30166764]],0
859,[[0.27227734]],0
860,[[0.32953112]],0
861,[[0.35963725]],0
862,[[0.35974606]],0
863,[[0.29757028]],0
864,[[0.23941519]],0
865,[[0.29671958]],0
866,[[0.2675651]],0
